sa_id,trace_type,ts,payload
351,activity,2025-02-12 11:37:06,"{""info"": ""soin""}"
495,like,2025-01-31 01:45:03,"{""info"": ""crier""}"
442,activity,2025-01-04 03:29:36,"{""info"": ""passage""}"
401,post,2025-04-18 20:03:09,"{""info"": ""trente""}"
301,post,2025-02-07 20:35:57,"{""info"": ""forme""}"
407,like,2025-03-08 03:08:27,"{""info"": ""t\u00f4t""}"
96,like,2025-01-09 23:17:13,"{""info"": ""groupe""}"
353,activity,2025-03-10 12:35:34,"{""info"": ""seconde""}"
222,post,2025-03-29 12:08:59,"{""info"": ""sombre""}"
315,like,2025-04-02 22:41:36,"{""info"": ""vrai""}"
1,like,2025-04-07 06:07:05,"{""info"": ""pr\u00e9c\u00e9der""}"
176,post,2025-03-17 01:08:41,"{""info"": ""r\u00e9p\u00e9ter""}"
421,post,2025-04-12 21:52:15,"{""info"": ""douze""}"
464,like,2025-02-22 11:55:54,"{""info"": ""\u00e9pais""}"
251,activity,2025-04-06 09:24:25,"{""info"": ""heureux""}"
184,post,2025-03-06 08:51:25,"{""info"": ""minute""}"
156,post,2025-03-05 05:43:58,"{""info"": ""nombre""}"
303,post,2025-02-15 11:40:28,"{""info"": ""autour""}"
331,post,2025-01-14 11:02:32,"{""info"": ""th\u00e9\u00e2tre""}"
225,activity,2025-02-06 14:23:37,"{""info"": ""para\u00eetre""}"
43,activity,2025-02-07 21:18:17,"{""info"": ""pour""}"
451,like,2025-01-06 13:57:05,"{""info"": ""lequel""}"
363,like,2025-01-25 11:30:08,"{""info"": ""te""}"
74,like,2025-01-26 08:16:58,"{""info"": ""marchand""}"
152,like,2025-01-29 00:52:09,"{""info"": ""commander""}"
180,like,2025-03-24 01:59:05,"{""info"": ""faveur""}"
494,like,2025-04-01 08:06:55,"{""info"": ""rouler""}"
185,like,2025-02-25 01:15:27,"{""info"": ""repas""}"
150,activity,2025-01-12 03:42:12,"{""info"": ""r\u00e9sultat""}"
269,post,2025-02-25 11:35:12,"{""info"": ""battre""}"
220,like,2025-02-22 00:36:59,"{""info"": ""par""}"
224,post,2025-02-13 10:32:37,"{""info"": ""gr\u00e2ce""}"
368,like,2025-01-10 05:56:11,"{""info"": ""trois""}"
251,like,2025-01-09 12:36:40,"{""info"": ""ignorer""}"
308,like,2025-04-18 09:21:05,"{""info"": ""livrer""}"
302,post,2025-04-21 09:52:43,"{""info"": ""portier""}"
100,like,2025-01-07 08:13:01,"{""info"": ""digne""}"
374,post,2025-02-01 20:11:32,"{""info"": ""autre""}"
82,post,2025-04-19 06:53:05,"{""info"": ""troisi\u00e8me""}"
157,post,2025-03-29 08:38:22,"{""info"": ""dresser""}"
366,post,2025-01-11 13:27:02,"{""info"": ""rue""}"
298,activity,2025-01-15 17:23:28,"{""info"": ""pendant""}"
215,activity,2025-02-04 09:45:49,"{""info"": ""environ""}"
138,post,2025-02-13 20:43:06,"{""info"": ""devoir""}"
148,like,2025-02-21 10:25:52,"{""info"": ""autorit\u00e9""}"
375,post,2025-01-11 18:41:32,"{""info"": ""oeuvre""}"
10,post,2025-03-21 10:54:47,"{""info"": ""lien""}"
145,post,2025-04-24 18:07:05,"{""info"": ""voler""}"
318,like,2025-01-19 15:47:26,"{""info"": ""fort""}"
25,like,2025-02-26 12:24:06,"{""info"": ""doute""}"
415,activity,2025-02-03 09:05:25,"{""info"": ""r\u00e9server""}"
84,post,2025-01-10 04:24:46,"{""info"": ""r\u00e9duire""}"
19,activity,2025-03-13 13:53:09,"{""info"": ""sant\u00e9""}"
327,post,2025-04-06 16:13:22,"{""info"": ""pointe""}"
441,activity,2025-03-17 02:42:32,"{""info"": ""court""}"
346,like,2025-03-14 20:27:23,"{""info"": ""pr\u00e9voir""}"
51,like,2025-04-13 10:31:12,"{""info"": ""haine""}"
124,like,2025-02-03 04:32:58,"{""info"": ""approcher""}"
285,like,2025-02-09 07:21:51,"{""info"": ""subir""}"
188,like,2025-03-26 07:40:27,"{""info"": ""type""}"
321,like,2025-01-31 00:23:33,"{""info"": ""vers""}"
209,activity,2025-03-22 17:41:38,"{""info"": ""aide""}"
241,activity,2025-01-05 23:19:42,"{""info"": ""classe""}"
68,activity,2025-01-30 19:18:44,"{""info"": ""est""}"
433,like,2025-01-22 05:23:12,"{""info"": ""servir""}"
21,activity,2025-01-01 04:14:21,"{""info"": ""ann\u00e9e""}"
332,activity,2025-03-08 10:37:36,"{""info"": ""mois""}"
224,activity,2025-01-23 19:09:09,"{""info"": ""car""}"
180,post,2025-03-10 03:56:59,"{""info"": ""aller""}"
25,like,2025-01-24 13:43:00,"{""info"": ""unique""}"
76,activity,2025-04-16 22:07:46,"{""info"": ""pluie""}"
283,like,2025-04-23 20:12:41,"{""info"": ""lendemain""}"
468,activity,2025-02-04 13:18:14,"{""info"": ""salut""}"
210,activity,2025-04-01 16:23:25,"{""info"": ""premier""}"
331,activity,2025-03-19 16:30:26,"{""info"": ""\u00eatre""}"
223,post,2025-02-03 00:58:02,"{""info"": ""peuple""}"
109,post,2025-01-22 02:28:26,"{""info"": ""cour""}"
291,like,2025-03-04 21:20:47,"{""info"": ""marquer""}"
400,activity,2025-01-21 07:35:59,"{""info"": ""d\u00e9sormais""}"
42,post,2025-01-07 02:32:41,"{""info"": ""chat""}"
420,activity,2025-03-02 02:28:41,"{""info"": ""coin""}"
50,activity,2025-04-01 19:02:53,"{""info"": ""hiver""}"
407,like,2025-03-04 21:30:33,"{""info"": ""fond""}"
210,activity,2025-03-24 22:59:05,"{""info"": ""ligne""}"
175,like,2025-03-05 14:32:19,"{""info"": ""dresser""}"
307,post,2025-03-26 18:52:00,"{""info"": ""musique""}"
109,post,2025-01-21 19:44:00,"{""info"": ""h\u00f4tel""}"
382,post,2025-04-18 10:05:28,"{""info"": ""accorder""}"
256,activity,2025-04-22 16:40:09,"{""info"": ""enfance""}"
114,activity,2025-03-25 14:22:35,"{""info"": ""\u00e9pais""}"
115,activity,2025-02-16 07:10:48,"{""info"": ""instinct""}"
433,like,2025-04-07 03:00:48,"{""info"": ""gens""}"
265,like,2025-01-17 05:30:53,"{""info"": ""malade""}"
350,post,2025-03-03 03:06:46,"{""info"": ""service""}"
209,activity,2025-02-20 02:31:45,"{""info"": ""poche""}"
38,activity,2025-02-06 09:43:21,"{""info"": ""accepter""}"
367,post,2025-03-26 21:29:25,"{""info"": ""contenir""}"
402,activity,2025-02-23 14:08:32,"{""info"": ""\u00e9tage""}"
438,post,2025-02-04 16:46:17,"{""info"": ""tendre""}"
428,activity,2025-04-02 10:27:00,"{""info"": ""craindre""}"
31,activity,2025-04-12 09:00:18,"{""info"": ""aujourd'hui""}"
175,like,2025-04-06 22:03:25,"{""info"": ""autre""}"
485,like,2025-02-11 09:16:52,"{""info"": ""partie""}"
14,like,2025-02-15 18:13:39,"{""info"": ""soldat""}"
287,like,2025-02-24 23:39:51,"{""info"": ""un""}"
356,like,2025-01-18 13:25:20,"{""info"": ""fatigue""}"
21,activity,2025-02-12 13:28:19,"{""info"": ""joli""}"
277,like,2025-02-26 11:56:45,"{""info"": ""\u00e9teindre""}"
304,like,2025-02-08 00:10:21,"{""info"": ""l\u00e0""}"
448,post,2025-02-06 20:37:12,"{""info"": ""machine""}"
374,activity,2025-01-24 18:47:03,"{""info"": ""apr\u00e8s""}"
274,post,2025-02-14 14:08:03,"{""info"": ""visage""}"
79,activity,2025-02-20 21:39:51,"{""info"": ""chercher""}"
315,like,2025-01-08 08:49:57,"{""info"": ""tromper""}"
249,post,2025-04-25 03:45:09,"{""info"": ""ennemi""}"
435,like,2025-02-05 04:31:38,"{""info"": ""d\u00e9tail""}"
336,post,2025-04-02 13:47:50,"{""info"": ""vision""}"
363,like,2025-03-05 14:11:27,"{""info"": ""volont\u00e9""}"
